status,size,buffer_size,buffer_level,total_played_utility,time_average_played_utility,total_played_bitrate,time_average_played_bitrate,total_play_time,total_play_time_chunks,total_rebuffer,rebuffer_ratio,time_average_rebuffer,total_rebuffer_events,time_average_rebuffer_events,total_bitrate_change,time_average_bitrate_change,total_log_bitrate_change,time_average_log_bitrate_change,time_average_score,total_reaction_time,estimate,qoe,download_time
missingTrace,886360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,886360,25000.0,3000.0,0.0,0.0,0.0,0.0,1.201272,0.400424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,177.2719999999999
downloadedSegment,8067960,25000.0,3362.408,0.0,0.0,230.0,179.74067328251274,3.838864,1.2796213333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8189894035458565e-12,0.2392001592137674,1613.592
missingTrace,8491768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,8491768,25000.0,3640.0544,2.555540685904549,1.168475506392845,3192.0,1459.4852028684434,6.5612176,2.187072533333333,0.0,0.0,0.0,0.0,0.0,2732.0,1249.1583879187303,2.555540685904549,1.168475506392845,1.168475506392845,0.0,1.3642420526593924e-12,0.8214385252103518,1698.3536
downloadedSegment,9855896,25000.0,3644.8752,5.111081371809098,1.6045005702805573,6154.0,1931.899688384643,9.5563968,3.1854656,0.0,0.0,0.0,0.0,0.0,2732.0,857.6454255227242,2.555540685904549,0.8022502851402786,1.6045005702805573,0.0,1.2126596023639042e-12,1.074380403788299,1971.1792
missingTrace,8308192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,8308192,25000.0,3959.2368,7.666622057713647,1.87876164358202,9116.0,2233.9422778330186,12.242035200000002,4.080678400000001,0.0,0.0,0.0,0.0,0.0,2732.0,669.496522931089,2.555540685904549,0.6262538811940065,1.87876164358202,0.0,1.1368683772161605e-12,1.2612755376903904,1661.6384000000005
downloadedSegment,7633744,25000.0,4408.487999999999,10.222162743618195,2.073070777674749,12078.0,2449.437509531674,14.792784,4.930928000000001,0.0,0.0,0.0,0.0,0.0,2732.0,554.0539225070818,2.555540685904549,0.5182676944186873,2.073070777674749,0.0,1.0913936421275138e-12,1.4096021302882284,1526.7488000000003
missingTrace,10496896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,10496896,25000.0,4285.108799999999,12.777703429522743,2.1395825579758188,15040.0,2518.3963495041166,17.916163200000003,5.972054400000001,0.0,0.0,0.0,0.0,0.0,2732.0,457.4640177423701,2.555540685904549,0.4279165115951637,2.1395825579758188,0.0,1.0610771520684161e-12,1.4584193994834205,2099.3792000000003
missingTrace,7558072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,7558072,25000.0,4749.4944,15.333244115427297,2.249180156656988,18002.0,2640.650659138793,20.4517776,6.8172592000000005,0.0,0.0,0.0,0.0,0.0,2732.0,400.7475614246851,2.555540685904549,0.3748633594428313,2.249180156656988,0.0,7.795668872339383e-13,1.5659154380142872,1511.6144
downloadedSegment,4772800,25000.0,5770.934399999999,17.523682433079156,2.343747483285203,20058.0,2682.7059437571725,22.4303376,7.476779200000001,0.0,0.0,0.0,0.0,0.0,3638.0,486.5731490372217,2.920643054157237,0.3906285013949905,2.343747483285203,0.0,6.821210263296962e-13,1.609729175007766,954.5600000000002
downloadedSegment,6192736,25000.0,6508.387199999999,17.523682433079156,2.1289957704430496,20058.0,2436.89631597844,24.692884800000005,8.2309616,0.0,0.0,0.0,0.0,0.0,3638.0,441.9896698339596,2.920643054157237,0.3548361899971975,2.1289957704430496,0.0,6.06329801181952e-13,1.4110602772800298,1238.5472
missingTrace,6446264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,6446264,25000.0,7195.134399999999,19.714120750731016,2.189960042719809,22114.0,2456.5526911926863,27.00613760000001,9.002045866666668,0.0,0.0,0.0,0.0,0.0,3638.0,404.1303559084287,2.920643054157237,0.3244421431990226,2.189960042719809,0.0,6.366462912410496e-13,1.4605861458664413,1289.2528000000002
downloadedSegment,8116376,25000.0,7547.859199999999,21.90455906838288,2.2160578159539406,24170.0,2445.2497420465543,29.653412800000005,9.884470933333334,0.0,0.0,0.0,0.0,0.0,3638.0,368.0520712273631,2.920643054157237,0.2954779344140689,2.2160578159539406,0.0,5.787693556736815e-13,1.4798859301616556,1623.2752
missingTrace,8955336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,8955336,25000.0,7732.791999999999,24.094997386034738,2.226312785757269,26226.0,2423.2116809903014,32.46848000000001,10.82282666666667,0.0,0.0,0.0,0.0,0.0,3638.0,336.1413900496727,2.920643054157237,0.2698595426232367,2.226312785757269,0.0,5.305385760342082e-13,1.4881358377644265,1791.0672
missingTrace,9414264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,9414264,25000.0,7825.939199999999,26.650538071939287,2.2600950404576223,29188.0,2475.2841335813523,35.3753328,11.7917776,0.0,0.0,0.0,0.0,0.0,4544.0,385.3532651429925,3.285745422409925,0.2786471670233947,2.2600950404576223,0.0,4.89727916339269e-13,1.5622516367001396,1882.8528
downloadedSegment,8968984,25000.0,8008.142399999999,29.20607875784384,2.294083705398457,32150.0,2525.323297936809,38.193129600000006,12.731043200000002,0.0,0.0,0.0,0.0,0.0,4544.0,356.92283252954473,3.285745422409925,0.2580892524510422,2.294083705398457,0.0,4.547473508864641e-13,1.6309786538603517,1793.7968
missingTrace,9030832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,9030832,25000.0,8177.975999999999,31.761619443748387,2.3227011874239736,35112.0,2567.711770404796,41.023296,13.674432,0.0,0.0,0.0,0.0,0.0,4544.0,332.298994210509,3.285745422409925,0.2402838686396572,2.3227011874239736,0.0,4.244308608273665e-13,1.6897990425511709,1806.1664
downloadedSegment,7749272,25000.0,8604.121599999999,34.31716012965293,2.361426823643016,38074.0,2619.9418758341603,43.5971504,14.532383466666666,0.0,0.0,0.0,0.0,0.0,4544.0,312.6809865995279,3.285745422409925,0.2260981779036131,2.361426823643016,0.0,4.547473508864641e-13,1.7551756086479164,1549.8544000000002
missingTrace,10346728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,10346728,25000.0,8510.775999999998,36.87270081555748,2.3691781395227083,41036.0,2636.682206160329,46.690496,15.563498666666666,0.0,0.0,0.0,0.0,0.0,4544.0,291.96519994133286,3.285745422409925,0.2111186882064773,2.3691781395227083,0.0,4.279975067166721e-13,1.7860133778187093,2069.3456
downloadedSegment,7500528,25000.0,8986.670399999999,39.428241501462026,2.403447770760499,43998.0,2682.008910136133,49.2146016,16.4048672,0.0,0.0,0.0,0.0,0.0,4544.0,276.9909652179324,3.285745422409925,0.2002908882072465,2.403447770760499,0.0,4.042198674546349e-13,1.8418430268566164,1500.1056
missingTrace,11069064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,11069064,25000.0,8748.8576,41.98378218736657,2.4012497423207213,46960.0,2685.863017203646,52.4524144,17.484138133333335,0.0,0.0,0.0,0.0,0.0,4544.0,259.8927076272012,3.285745422409925,0.1879272170783004,2.4012497423207213,0.0,3.829451375886013e-13,1.858206661348208,2213.8128
missingTrace,9059696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,9059696,25000.0,8912.918399999999,44.53932287327112,2.416747107112507,49922.0,2708.8164187981897,55.2883536,18.4294512,0.0,0.0,0.0,0.0,0.0,4544.0,246.56187266173177,3.285745422409925,0.1782877518571972,2.416747107112507,0.0,4.092726157978177e-13,1.891637505496702,1811.9392000000005
downloadedSegment,7206624,25000.0,9447.593599999998,44.53932287327112,2.313583694087498,49922.0,2593.185475784344,57.753678400000005,19.251226133333336,0.0,0.0,0.0,0.0,0.0,4544.0,236.03691362453543,3.285745422409925,0.1706772025663697,2.313583694087498,0.0,3.464741721039727e-13,1.7971854828780545,1441.3248
