status,size,buffer_size,buffer_level,total_played_utility,time_average_played_utility,total_played_bitrate,time_average_played_bitrate,total_play_time,total_play_time_chunks,total_rebuffer,rebuffer_ratio,time_average_rebuffer,total_rebuffer_events,time_average_rebuffer_events,total_bitrate_change,time_average_bitrate_change,total_log_bitrate_change,time_average_log_bitrate_change,time_average_score,total_reaction_time,estimate,qoe,download_time
missingTrace,886360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,886360,25000.0,3000.0,0.0,0.0,0.0,0.0,0.433272,0.144424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,177.272
downloadedSegment,8067960,25000.0,4130.407999999999,0.0,0.0,230.0,299.6268993739969,2.302864,0.7676213333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2853563562589888,1613.592
downloadedSegment,8491768,25000.0,5176.0544,2.555540685904549,1.8008527583165228,3192.0,2249.356481096949,4.2572176,1.4190725333333334,0.0,0.0,0.0,0.0,0.0,2732.0,1925.2010984827275,2.555540685904549,1.8008527583165228,1.8008527583165228,0.0,0.0,1.178705762349606,1698.3536
missingTrace,9855896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,9855896,25000.0,5948.8752,5.111081371809098,2.364636925893753,6154.0,2847.142235342538,6.484396800000001,2.1614656,0.0,0.0,0.0,0.0,0.0,2732.0,1263.9571964504084,2.555540685904549,1.1823184629468766,2.364636925893753,0.0,0.0,1.491574822279141,1971.1792
downloadedSegment,12744936,25000.0,6143.888,5.111081371809098,1.6506201181291775,6154.0,1987.429952298236,9.289384,3.096461333333333,0.0,0.0,0.0,0.0,0.0,2732.0,882.2974698860548,2.555540685904549,0.8253100590645889,1.6506201181291775,0.0,0.0,0.7907150057784059,2548.9872
missingTrace,11369328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,11369328,25000.0,6614.0224,7.666622057713647,1.945966702754204,9116.0,2313.852480110074,11.8192496,3.939749866666667,0.0,0.0,0.0,0.0,0.0,2732.0,693.4450390149981,2.555540685904549,0.6486555675847345,1.945966702754204,0.0,0.0,1.1567344544079523,2273.8656
missingTrace,15416704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,15416704,25000.0,6274.6816,10.751121412483029,2.1277284619715746,14143.0,2799.0069577973422,15.1585904,5.052863466666667,0.0,0.0,0.0,0.0,0.0,4797.0,949.3626795272468,3.08449935476938,0.6104458145599171,2.1277284619715746,0.0,0.0,1.611372017118211,3083.3408
