status,size,buffer_size,buffer_level,total_played_utility,time_average_played_utility,total_played_bitrate,time_average_played_bitrate,total_play_time,total_play_time_chunks,total_rebuffer,rebuffer_ratio,time_average_rebuffer,total_rebuffer_events,time_average_rebuffer_events,total_bitrate_change,time_average_bitrate_change,total_log_bitrate_change,time_average_log_bitrate_change,time_average_score,total_reaction_time,estimate,qoe,download_time,delay
missingTrace,886360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,886360.0,6000.0,3000.0,0.0,0.0,0.0,0.0,0.241272,0.080424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,177.272,0.0
downloadedSegment,8067960.0,6000.0,4322.407999999999,0.0,0.0,230.0,359.5877560890193,1.918864,0.6396213333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3084412860942724,1613.592,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1322.4079999999994
missingTrace,8491768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,8491768.0,6000.0,4237.6464000000005,2.555540685904549,1.5322133729817131,3192.0,1913.8122564565983,5.0036256,1.6678752,0.0,0.0,0.0,0.0,0.0,2732.0,1638.012244561224,2.555540685904549,1.5322133729817131,1.5322133729817131,0.0,0.0,1.0483909149895616,1698.3536,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1237.6464000000003
downloadedSegment,9855896.0,6000.0,3964.8208,5.111081371809098,1.8526351143624569,6154.0,2230.6662063083268,8.2764512,2.7588170666666665,0.0,0.0,0.0,0.0,0.0,2732.0,990.2795053029492,2.555540685904549,0.9263175571812284,1.8526351143624569,0.0,0.0,1.2013514480411789,1971.1792,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.8207999999996
missingTrace,8308192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,8308192.0,6000.0,4274.3616,7.666622057713647,2.0972056243972728,9116.0,2493.683179904525,10.9669104,3.6556368,0.0,0.0,0.0,0.0,0.0,2732.0,747.3390135475166,2.555540685904549,0.6990685414657575,2.0972056243972728,0.0,0.0,1.3851622500545786,1661.6384,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1274.3616000000002
downloadedSegment,7633744.0,6000.0,4409.2512,10.222162743618195,2.217064930299598,12078.0,2619.573851421624,13.8320208,4.610673599999999,0.0,0.0,0.0,0.0,0.0,2732.0,592.5381488726507,2.555540685904549,0.5542662325748995,2.217064930299598,0.0,0.0,1.4857887137822066,1526.7488,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.2511999999997
missingTrace,7292048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,7292048.0,6000.0,4477.5904,12.777703429522743,2.2866761134718905,15040.0,2691.5328671000293,16.763681599999995,5.587893866666666,0.0,0.0,0.0,0.0,0.0,2732.0,488.914081975883,2.555540685904549,0.457335222694378,2.2866761134718905,0.0,1.5158245029548808e-13,1.5581497260143995,1458.4096000000002,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477.5904
downloadedSegment,7558072.0,6000.0,4424.3856,14.968141747174606,2.265967737571722,17096.0,2588.095776741194,19.816886399999994,6.605628799999999,0.0,0.0,0.0,0.0,0.0,3638.0,550.742421372512,2.920643054157237,0.4421445925264886,2.265967737571722,0.0,2.5985562907797973e-13,1.4921745031077287,1511.6144000000002,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.3855999999996
missingTrace,4772800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,4772800.0,6000.0,4981.4400000000005,17.158580064826467,2.312494550474568,19152.0,2581.1515558608,22.259832,7.419943999999999,0.0,0.0,0.0,0.0,0.0,3638.0,490.3001963357137,2.920643054157237,0.3936206330071005,2.312494550474568,0.0,2.273736754432321e-13,1.520057090846349,954.56,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981.4400000000005
downloadedSegment,6192736.0,6000.0,4697.452799999999,19.349018382478327,2.272450125525277,21208.0,2490.7786694638053,25.5438192,8.5146064,0.0,0.0,0.0,0.0,0.0,3638.0,427.2657864725256,2.920643054157237,0.3430156271412894,2.272450125525277,0.0,1.0105496686365869e-13,1.4742220914183473,1238.5472,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1697.4527999999991
downloadedSegment,6446264.0,6000.0,4646.7472,21.539456700130188,2.2598161904194534,23264.0,2440.746978246689,28.594524799999995,9.531508266666664,0.0,0.0,0.0,0.0,0.0,3638.0,381.6814609207984,2.920643054157237,0.3064198207088831,2.2598161904194534,0.0,1.818989403545857e-13,1.4656329859613553,1289.2528000000002,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1646.7471999999998
downloadedSegment,5623984.0,6000.0,4811.2032,23.72989501778205,2.2650184288920854,25320.0,2416.7939460571592,31.4300688,10.476689599999998,0.0,0.0,0.0,0.0,0.0,3638.0,347.24709224944496,2.920643054157237,0.278775373297042,2.2650184288920854,0.0,1.653626730496233e-13,1.4789276976908456,1124.7968,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1811.2032
missingTrace,6193664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,6193664.0,6000.0,4697.2672,25.92033333543391,2.251070785119325,27376.0,2377.489248148785,34.5440048,11.514668266666664,0.0,0.0,0.0,0.0,0.0,3638.0,315.9448379882116,2.920643054157237,0.2536454361097041,2.251070785119325,0.0,1.5158245029548808e-13,1.4755152182345164,1238.7328,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1697.2672000000002
downloadedSegment,6720088.0,6000.0,4591.9824,28.11077165308577,2.23994438820055,29432.0,2345.223533779506,37.6492896,12.5497632,0.0,0.0,0.0,0.0,0.0,3638.0,289.88594780816265,2.920643054157237,0.2327249532610493,2.23994438820055,0.0,2.098833927168296e-13,1.476339297699743,1344.0176,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591.9824
missingTrace,6351744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,6351744.0,6000.0,4665.6512,30.30120997073763,2.240350932898429,31488.0,2328.0974668414683,40.5756208,13.525206933333331,0.0,0.0,0.0,0.0,0.0,3638.0,268.9792487414019,2.920643054157237,0.2159407296726243,2.240350932898429,0.0,1.9489172180848466e-13,1.4889115170932876,1270.3488,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665.6512000000002
