status,size,buffer_size,buffer_level,total_played_utility,time_average_played_utility,total_played_bitrate,time_average_played_bitrate,total_play_time,total_play_time_chunks,total_rebuffer,rebuffer_ratio,time_average_rebuffer,total_rebuffer_events,time_average_rebuffer_events,total_bitrate_change,time_average_bitrate_change,total_log_bitrate_change,time_average_log_bitrate_change,time_average_score,total_reaction_time,estimate,qoe,download_time,delay
downloadedSegment,5016696.0,6000.0,3972.6608,113.89641360376842,1.834783810122219,92234.0,1485.818952399512,186.2286112,62.07620373333333,0.0,0.0,0.0,0.0,0.0,4267.0,68.73809516977164,3.2858310632554564,0.0529322166247587,1.834783810122219,0.0,2.933853876686866e-13,1.2359882273773466,1003.3392,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.6607999999997
missingTrace,3363800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,3363800.0,6000.0,4303.24,115.72166391232206,1.8378433489289403,93661.0,1487.4850575468142,188.898032,62.96601066666667,0.0,0.0,0.0,0.0,0.0,4267.0,67.76671977186082,3.2858310632554564,0.0521842026907213,1.8378433489289403,0.0,2.887284767533107e-13,1.2400927060140825,672.76,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1303.2399999999998
downloadedSegment,5172944.0,6000.0,3941.4112,117.54691422087568,1.834188068145252,95088.0,1483.741841968503,192.2598608,64.08662026666667,0.0,0.0,0.0,0.0,0.0,4267.0,66.58176047113834,3.2858310632554564,0.0512717170851419,1.834188068145252,0.0,2.8421709430404053e-13,1.2390155024275036,1034.5888,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.4112000000003
missingTrace,4125720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,4125720.0,6000.0,4150.856,119.37216452942933,1.836020147674476,96515.0,1484.4623556198924,195.050416,65.01680533333334,0.0,0.0,0.0,0.0,0.0,4267.0,65.62918584085459,3.2858310632554564,0.0505381808043227,1.836020147674476,0.0,2.798445236224396e-13,1.2421061039954977,825.144,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.8559999999998
