status,size,buffer_size,buffer_level,total_played_utility,time_average_played_utility,total_played_bitrate,time_average_played_bitrate,total_play_time,total_play_time_chunks,total_rebuffer,rebuffer_ratio,time_average_rebuffer,total_rebuffer_events,time_average_rebuffer_events,total_bitrate_change,time_average_bitrate_change,total_log_bitrate_change,time_average_log_bitrate_change,time_average_score,total_reaction_time,estimate,qoe,download_time,delay
missingTrace,886360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,886360.0,6000.0,3000.0,0.0,0.0,0.0,0.0,0.6892719999999999,0.2297573333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,177.2719999999999,0.0
downloadedSegment,8067960.0,6000.0,3874.408,0.0,0.0,230.0,245.12729567041248,2.814864,0.938288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8189894035458565e-12,0.2643740088331088,1613.592,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.4079999999994
missingTrace,8491768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,8491768.0,6000.0,3789.646400000001,2.555540685904549,1.2995099312257452,3192.0,1623.1538489493298,5.899625599999999,1.9665418666666663,0.0,0.0,0.0,0.0,0.0,2732.0,1389.2407002912184,2.555540685904549,1.2995099312257452,1.2995099312257452,0.0,1.3642420526593924e-12,0.9037204450070074,1698.3536,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.6464000000005
downloadedSegment,9855896.0,6000.0,3516.8208,5.111081371809098,1.6716626538637016,6154.0,2012.7662276360763,9.1724512,3.057483733333333,0.0,0.0,0.0,0.0,0.0,2732.0,893.5452281283328,2.555540685904549,0.8358313269318508,1.6716626538637016,0.0,1.2126596023639042e-12,1.1053036740527489,1971.1792,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.8207999999995
missingTrace,8308192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,8308192.0,6000.0,3826.3616,7.666622057713647,1.938804677572288,9116.0,2305.336471225476,11.8629104,3.954303466666666,0.0,0.0,0.0,0.0,0.0,2732.0,690.8928520609918,2.555540685904549,0.6462682258574294,1.938804677572288,0.0,1.1368683772161605e-12,1.2971437865217303,1661.6384000000005,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.3616000000002
downloadedSegment,5216336.0,6000.0,4444.7328,10.222162743618195,2.152859267701309,12078.0,2543.711628102368,14.244539199999998,4.748179733333333,0.0,0.0,0.0,0.0,0.0,2732.0,575.3783878105372,2.555540685904549,0.5382148169253272,2.152859267701309,0.0,9.094947017729282e-13,1.469924427605335,1043.2672,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1444.7327999999998
missingTrace,7292048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,7292048.0,6000.0,4029.5904,12.412601061270056,2.10863389427192,14134.0,2401.062542373357,17.6596816,5.886560533333333,0.0,0.0,0.0,0.0,0.0,3638.0,618.0179375374469,2.920643054157237,0.4961544245776045,2.10863389427192,0.0,9.094947017729282e-13,1.3518285076855396,1458.4096000000002,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.5904
downloadedSegment,7558072.0,6000.0,3976.3856,14.603039378921917,2.115065823793914,16190.0,2344.9170271121657,20.7128864,6.9042954666666665,0.0,0.0,0.0,0.0,0.0,3638.0,526.9183535907387,2.920643054157237,0.4230182599018026,2.115065823793914,0.0,9.094947017729282e-13,1.331260427100178,1511.6144000000002,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.3855999999996
missingTrace,4772800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
