status,size,buffer_size,buffer_level,total_played_utility,time_average_played_utility,total_played_bitrate,time_average_played_bitrate,total_play_time,total_play_time_chunks,total_rebuffer,rebuffer_ratio,time_average_rebuffer,total_rebuffer_events,time_average_rebuffer_events,total_bitrate_change,time_average_bitrate_change,total_log_bitrate_change,time_average_log_bitrate_change,time_average_score,total_reaction_time,estimate,qoe,download_time,delay
missingTrace,886360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,886360.0,6000.0,3000.0,0.0,0.0,0.0,0.0,0.433272,0.144424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,177.272,0.0
downloadedSegment,8067960.0,6000.0,4130.407999999999,0.0,0.0,230.0,299.6268993739969,2.302864,0.7676213333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2853563562589888,1613.592,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.4079999999994
missingTrace,8491768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,8491768.0,6000.0,4045.646400000001,2.555540685904549,1.423005722170755,3192.0,1777.406358749205,5.3876256,1.7958751999999998,0.0,0.0,0.0,0.0,0.0,2732.0,1521.263838378079,2.555540685904549,1.423005722170755,1.423005722170755,0.0,0.0,0.9794714117757436,1698.3536,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.6464000000003
downloadedSegment,9855896.0,6000.0,3772.8208,5.111081371809098,1.7704902159632625,6154.0,2131.759601624451,8.660451199999999,2.8868170666666666,0.0,0.0,0.0,0.0,0.0,2732.0,946.3710158657784,2.555540685904549,0.8852451079816311,1.7704902159632625,0.0,0.0,1.1572731012746622,1971.1792,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.8207999999995
missingTrace,8308192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,8308192.0,6000.0,4082.3616,7.666622057713647,2.02625739809742,9116.0,2409.3221632689483,11.350910399999998,3.7836368,0.0,0.0,0.0,0.0,0.0,2732.0,722.0566202337392,2.555540685904549,0.6754191326991399,2.02625739809742,0.0,0.0,1.345069521826292,1661.6384,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1082.3616000000002
downloadedSegment,7633744.0,6000.0,4217.2512,10.222162743618195,2.157178064262159,12078.0,2548.814503704159,14.2160208,4.738673599999999,0.0,0.0,0.0,0.0,0.0,2732.0,576.5326398509491,2.555540685904549,0.5392945160655398,2.157178064262159,0.0,0.0,1.450334672378613,1526.7488,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1217.2511999999997
missingTrace,7292048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,7292048.0,6000.0,4285.5904,12.777703429522743,2.2354689795831204,15040.0,2631.259493411635,17.147681599999995,5.715893866666665,0.0,0.0,0.0,0.0,0.0,2732.0,477.9654877659965,2.555540685904549,0.447093795916624,2.2354689795831204,0.0,1.5158245029548808e-13,1.5259629373260544,1458.4096000000002,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1285.5904
downloadedSegment,7558072.0,6000.0,4232.3856,14.968141747174606,2.222893805369047,17096.0,2538.898491107797,20.200886399999995,6.733628799999998,0.0,0.0,0.0,0.0,0.0,3638.0,540.2733218676981,2.920643054157237,0.4337398364099366,2.222893805369047,0.0,2.5985562907797973e-13,1.4654651518241235,1511.6144000000002,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.3855999999996
missingTrace,4772800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,4772800.0,6000.0,4789.44,17.158580064826467,2.2732786656639834,19152.0,2537.379715588775,22.643832,7.547943999999999,0.0,0.0,0.0,0.0,0.0,3638.0,481.98555792146846,2.920643054157237,0.3869455118052329,2.2732786656639834,0.0,3.410605131648481e-13,1.4946065256814631,954.5600000000002,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789.4399999999996
downloadedSegment,6192736.0,6000.0,4505.4528,19.349018382478327,2.2387943505651635,21208.0,2453.889373002108,25.9278192,8.6426064,0.0,0.0,0.0,0.0,0.0,3638.0,420.93783190219096,2.920643054157237,0.3379354466677132,2.2387943505651635,0.0,2.0210993372731737e-13,1.4523655262487454,1238.5472,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.4528
missingTrace,6446264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,6446264.0,6000.0,4454.7472,21.539456700130188,2.229870931883688,23264.0,2408.4041710777497,28.9785248,9.659508266666666,0.0,0.0,0.0,0.0,0.0,3638.0,376.6237265466322,2.920643054157237,0.3023593927897845,2.229870931883688,0.0,1.818989403545857e-13,1.445829415344004,1289.2528000000002,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1454.7471999999998
missingTrace,5623984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,5623984.0,6000.0,4619.2032,23.72989501778205,2.2376793581758445,25320.0,2387.622924861469,31.8140688,10.6046896,0.0,0.0,0.0,0.0,0.0,3638.0,343.0557741171416,2.920643054157237,0.2754105178295117,2.2376793581758445,0.0,1.653626730496233e-13,1.4603310923282953,1124.7968,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.2032
downloadedSegment,6193664.0,6000.0,4505.2672,25.92033333543391,2.2263224152529246,27376.0,2351.351028215617,34.9280048,11.642668266666664,0.0,0.0,0.0,0.0,0.0,3638.0,312.4713267332121,2.920643054157237,0.2508568471815977,2.2263224152529246,0.0,1.5158245029548808e-13,1.458387543356984,1238.7328,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.2672000000002
missingTrace,6720088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,6720088.0,6000.0,4399.9824,28.11077165308577,2.217328972754892,29432.0,2321.5451760449355,38.0332896,12.6777632,0.0,0.0,0.0,0.0,0.0,3638.0,286.95913802838663,2.920643054157237,0.2303752647909717,2.217328972754892,0.0,2.098833927168296e-13,1.4604363343618645,1344.0176,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399.9824
downloadedSegment,6351744.0,6000.0,4473.6512,30.30120997073763,2.219347448456185,31488.0,2306.271351027742,40.9596208,13.653206933333331,0.0,0.0,0.0,0.0,0.0,3638.0,266.4575449389903,2.920643054157237,0.2139162665898438,2.219347448456185,0.0,1.9489172180848466e-13,1.4738609806911445,1270.3488,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.6512000000002
missingTrace,5726000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,5726000.0,6000.0,4598.799999999999,32.49164828838949,2.223705235121082,33544.0,2295.727435704028,43.83447199999999,14.611490666666665,0.0,0.0,0.0,0.0,0.0,3638.0,248.98212530083632,2.920643054157237,0.1998867275616257,2.223705235121082,0.0,1.818989403545857e-13,1.4895630603480097,1145.2,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.7999999999993
downloadedSegment,5595624.0,6000.0,4624.8752,34.68208660604135,2.2228118656292897,35600.0,2281.6419125894954,46.8083968,15.602798933333332,0.0,0.0,0.0,0.0,0.0,3638.0,233.1632943258591,2.920643054157237,0.1871871237100714,2.2228118656292897,0.0,1.7053025658242404e-13,1.5000415829776088,1119.1248,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1624.8752000000004
missingTrace,6942520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,6942520.0,6000.0,4355.495999999999,36.87252492369321,2.2089154832091515,37656.0,2255.850978685636,50.077776,16.692591999999998,0.0,0.0,0.0,0.0,0.0,3638.0,217.9409884336717,2.920643054157237,0.1749664194845975,2.2089154832091515,0.0,2.1399875335833605e-13,1.497935141378825,1388.504,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.4959999999992
downloadedSegment,5077256.0,6000.0,4728.5488,39.062963241345074,2.223498817730917,39712.0,2260.442570733395,52.7047232,17.568241066666666,0.0,0.0,0.0,0.0,0.0,3638.0,207.07821495588465,2.920643054157237,0.1662456157719031,2.223498817730917,0.0,2.526374171591468e-13,1.5227806916737534,1015.4512000000002,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728.5487999999996
missingTrace,7598696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,7598696.0,6000.0,4224.2608,41.25340155899693,2.201785835310884,41768.0,2229.251099154721,56.20901119999999,18.736337066666664,0.0,0.0,0.0,0.0,0.0,3638.0,194.16815501639712,2.920643054157237,0.1558812186055981,2.201785835310884,0.0,2.3934071099287584e-13,1.5126358398801982,1519.7392,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.2608
downloadedSegment,6479152.0,6000.0,4448.1696,43.4438398766488,2.209566726630729,43824.0,2228.901784529241,58.9851024,19.6617008,0.0,0.0,0.0,0.0,0.0,3638.0,185.02977117829,2.920643054157237,0.148544781749361,2.209566726630729,0.0,1.818989403545857e-13,1.5302768521120544,1295.8304,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448.1696000000002
missingTrace,5142544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,5142544.0,6000.0,4715.4912,45.634278194300656,2.2182073433026286,45880.0,2230.1514768658044,61.7177808,20.5725936,0.0,0.0,0.0,0.0,0.0,3638.0,176.8372073417131,2.920643054157237,0.141967663919499,2.2182073433026286,0.0,1.7323708605198637e-13,1.54820891559027,1028.5088,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1715.4911999999997
missingTrace,5356896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,5356896.0,6000.0,4672.6208,47.82471651195252,2.215452545292774,47936.0,2220.6076890097734,64.7606512,21.58688373333333,0.0,0.0,0.0,0.0,0.0,3638.0,168.52826211234887,2.920643054157237,0.1352971132951132,2.215452545292774,0.0,1.653626730496233e-13,1.5549276828695169,1071.3792,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1672.6207999999997
downloadedSegment,6709528.0,6000.0,4402.0944,50.01515482960438,2.205539721376411,49992.0,2204.5186529300945,68.03117759999999,22.6770592,0.0,0.0,0.0,0.0,0.0,3638.0,160.42644541846062,2.920643054157237,0.1287928486845965,2.205539721376411,0.0,1.5817299161268314e-13,1.5545742510842095,1341.9056,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1402.0944
missingTrace,6358360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,6358360.0,6000.0,4472.328,52.20559314725624,2.207084215815516,52048.0,2200.421685483778,70.960944,23.653648,0.0,0.0,0.0,0.0,0.0,3638.0,153.80291445953708,2.920643054157237,0.1234753748832838,2.207084215815516,0.0,1.51582450295488e-13,1.5646818225981558,1271.672,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.3279999999995
downloadedSegment,6282648.0,6000.0,4487.4704,54.3960314649081,2.206860847590356,54104.0,2195.013056698002,73.9458016,24.64860053333333,0.0,0.0,0.0,0.0,0.0,3638.0,147.59458635715163,2.920643054157237,0.1184912324011064,2.206860847590356,0.0,1.455191522836685e-13,1.572764534108296,1256.5296,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1487.4704000000002
missingTrace,5316344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,5316344.0,6000.0,4680.7312,56.58646978255996,2.2117757611443123,56160.0,2195.1064843445547,76.7525408,25.584180266666667,0.0,0.0,0.0,0.0,0.0,3638.0,142.19724697374448,2.920643054157237,0.1141581642919593,2.2117757611443123,0.0,1.399222618112197e-13,1.5853119700391731,1063.2688,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680.7312000000002
downloadedSegment,6446168.0,6000.0,4454.7664,58.77690810021182,2.2047264196523755,58216.0,2183.6867129460343,79.9785056,26.65950186666667,0.0,0.0,0.0,0.0,0.0,3638.0,136.46166452002322,2.920643054157237,0.1095535493785434,2.2047264196523755,0.0,1.3473995581821158e-13,1.586345000402245,1289.2336,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1454.7663999999995
missingTrace,5904856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,5904856.0,6000.0,4563.0288,60.96734641786368,2.2070894471996803,60272.0,2181.917091320905,82.87024319999999,27.6234144,0.0,0.0,0.0,0.0,0.0,3638.0,131.69986690711198,2.920643054157237,0.1057307040999695,2.2070894471996803,0.0,1.6240976817373721e-13,1.5958872766953467,1180.9712000000002,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563.0288
missingTrace,7043424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
