status,size,buffer_size,buffer_level,total_played_utility,time_average_played_utility,total_played_bitrate,time_average_played_bitrate,total_play_time,total_play_time_chunks,total_rebuffer,rebuffer_ratio,time_average_rebuffer,total_rebuffer_events,time_average_rebuffer_events,total_bitrate_change,time_average_bitrate_change,total_log_bitrate_change,time_average_log_bitrate_change,time_average_score,total_reaction_time,estimate,qoe,download_time
missingTrace,886360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,886360,25000.0,3000.0,0.0,0.0,0.0,0.0,0.9405859375,0.3135286458333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,865.5859375
downloadedSegment,2760272,25000.0,3229.421875,0.0,0.0,230.0,185.92549086476825,3.7111640625,1.2370546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2415813139829358,2695.578125
missingTrace,1927704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,1927704,25000.0,4271.8984375,1.4606352254067927,0.773001806188889,1221.0,646.1813250421725,5.6686875,1.8895625,0.0,0.0,0.0,0.0,0.0,761.0,402.7387292031886,1.4606352254067927,0.773001806188889,0.773001806188889,0.0,0.0,0.4764367554311922,1882.5234375
downloadedSegment,2716824,25000.0,4543.75,2.5563447544169406,0.9133242950479908,1909.0,682.0426220814202,8.3968359375,2.7989453125,0.0,0.0,0.0,0.0,0.0,1064.0,380.1431900967161,1.825560921803437,0.6522317223028762,0.9133242950479908,0.0,0.0,0.4860156429863624,2653.1484375
missingTrace,1573944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,1573944,25000.0,5931.6953125,3.6520542834270886,1.0946430789157782,2597.0,778.4079466849005,10.008890625,3.336296875,0.0,0.0,0.0,0.0,0.0,1064.0,318.9164633318191,1.825560921803437,0.5471817977239921,1.0946430789157782,0.0,0.0,0.5614598435047867,1537.0546875
downloadedSegment,2535760,25000.0,6380.3671875,3.6520542834270886,0.8722907672512684,2597.0,620.2917445207713,12.56021875,4.186739583333333,0.0,0.0,0.0,0.0,0.0,1064.0,254.13570125918392,1.825560921803437,0.4360340273062769,0.8722907672512684,0.0,0.0,0.4348487256425238,2476.328125
missingTrace,3320728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
