status,size,buffer_size,buffer_level,total_played_utility,time_average_played_utility,total_played_bitrate,time_average_played_bitrate,total_play_time,total_play_time_chunks,total_rebuffer,rebuffer_ratio,time_average_rebuffer,total_rebuffer_events,time_average_rebuffer_events,total_bitrate_change,time_average_bitrate_change,total_log_bitrate_change,time_average_log_bitrate_change,time_average_score,total_reaction_time,estimate,qoe,download_time,delay
missingTrace,886360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,886360.0,6000.0,3000.0,0.0,0.0,0.0,0.0,0.305272,0.1017573333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,177.272,0.0
downloadedSegment,8067960.0,6000.0,4258.407999999999,0.0,0.0,230.0,337.1010482376944,2.046864,0.682288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2997839035715124,1613.592,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258.4079999999994
missingTrace,8491768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,8491768.0,6000.0,4173.6464000000005,2.555540685904549,1.4939948186620722,3192.0,1866.0753426750389,5.1316256,1.7105418666666663,0.0,0.0,0.0,0.0,0.0,2732.0,1597.1547105852774,2.555540685904549,1.4939948186620722,1.4939948186620722,0.0,0.0,1.02403639534708,1698.3536,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.6464000000003
downloadedSegment,9855896.0,6000.0,3900.8208,5.111081371809098,1.8244194356708607,6154.0,2196.693104720508,8.404451199999999,2.8014837333333333,0.0,0.0,0.0,0.0,0.0,2732.0,975.197523902572,2.555540685904549,0.9122097178354306,1.8244194356708607,0.0,0.0,1.186065255697608,1971.1792,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.8207999999996
missingTrace,8308192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,8308192.0,6000.0,4210.3616,7.666622057713647,2.073010537619208,9116.0,2464.9140023699515,11.094910399999998,3.6983034666666654,0.0,0.0,0.0,0.0,0.0,2732.0,738.7170968050359,2.555540685904549,0.6910035125397359,2.073010537619208,0.0,0.0,1.3712990542090242,1661.6384,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.3616000000002
downloadedSegment,7633744.0,6000.0,4345.2512,10.222162743618195,2.196736571542542,12078.0,2595.5548719526264,13.9600208,4.653340266666667,0.0,0.0,0.0,0.0,0.0,2732.0,587.1051424221373,2.555540685904549,0.5491841428856357,2.196736571542542,0.0,0.0,1.4735291434511373,1526.7488,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.2511999999997
missingTrace,7292048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downloadedSegment,7292048.0,6000.0,4413.5904,12.777703429522743,2.2693483808366506,15040.0,2671.137253735591,16.891681599999995,5.630560533333332,0.0,0.0,0.0,0.0,0.0,2732.0,485.2092405056938,2.555540685904549,0.4538696761673301,2.2693483808366506,0.0,1.5158245029548808e-13,1.5470079015588074,1458.4096000000002,0.0
delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.5904
